C1,C2,Bounty,Strength
Ks,Ah,K,0.669375
4s,Ah,Q,0.668125
7s,7h,3,0.668125
7s,As,7,0.668125
Ts,Qs,7,0.668125
Ks,Ah,J,0.668125
6s,Ah,2,0.666875
6s,As,A,0.666875
9s,Ah,6,0.66625
9s,As,9,0.66625
Ts,Qh,7,0.66625
Qs,Ah,3,0.66625
Qs,Ah,8,0.665625
4s,4h,K,0.665
6s,Ah,A,0.665
7s,As,2,0.665
8s,8h,9,0.665
8s,As,2,0.665
8s,As,8,0.665
Qs,Kh,6,0.665
Ks,As,4,0.665
6s,6h,3,0.664375
5s,As,7,0.66375
7s,Kh,2,0.66375
8s,Ks,8,0.66375
Ks,Ah,A,0.66375
Ts,As,6,0.663125
5s,Ah,Q,0.66125
7s,Ah,5,0.66125
8s,Qs,3,0.66125
5s,5h,K,0.660625
9s,Ah,K,0.660625
Js,Qs,K,0.660625
9s,Qs,T,0.66
5s,Ah,A,0.658125
9s,Ks,Q,0.6575
Ks,Ah,3,0.6575
5s,As,T,0.65625
9s,Jh,7,0.65625
9s,As,4,0.65625
Ts,As,3,0.65625
Qs,Kh,2,0.65625
8s,Ks,T,0.655625
4s,Ah,9,0.655
8s,Ah,8,0.655
Ts,Kh,T,0.655
Js,Qh,2,0.655
Qs,Ks,3,0.655
9s,Ah,4,0.654375
Ts,Ks,T,0.654375
8s,Ah,4,0.653125
Js,Qs,4,0.653125
9s,Ah,2,0.6525
9s,Ah,7,0.6525
Ts,Js,Q,0.6525
Qs,Ks,2,0.6525
6s,Kh,4,0.651875
6s,Ah,5,0.651875
5s,Ah,T,0.65125
Js,Qs,6,0.65125
Ts,Kh,3,0.650625
8s,Qs,Q,0.65
8s,Ah,Q,0.65
Js,Ks,3,0.65
Js,Ks,5,0.65
Ks,As,7,0.65
7s,Ks,J,0.649375
Ts,Ks,2,0.649375
5s,As,5,0.64875
5s,As,K,0.64875
9s,Ah,5,0.64875
9s,Ah,J,0.64875
Ts,As,K,0.64875
Js,Qs,8,0.64875
5s,Ah,K,0.648125
Ts,Qs,K,0.648125
3s,As,K,0.64625
5s,5h,8,0.64625
5s,5h,Q,0.64625
7s,Kh,8,0.64625
9s,Js,T,0.64625
Qs,Ah,A,0.645625
3s,As,9,0.645
4s,Ah,6,0.645
8s,Qs,5,0.645
Ts,Kh,9,0.645
2s,As,2,0.64375
Js,As,T,0.64375
9s,Js,4,0.643125
Ts,Ah,3,0.643125
6s,As,9,0.6425
Qs,As,J,0.6425
4s,Qs,8,0.641875
Ts,Qs,9,0.641875
5s,Kh,9,0.64125
7s,As,4,0.64125
Ts,Js,9,0.64125
Ts,Ah,7,0.64125
3s,As,5,0.640625
4s,As,5,0.640625
Ts,Qh,Q,0.640625
8s,Qs,K,0.64
Qs,Ks,6,0.64
Qs,Ah,9,0.64
6s,6h,4,0.639375
Js,Kh,J,0.639375
9s,As,6,0.63875
Ts,Ah,4,0.63875
Js,Qh,9,0.63875
8s,Ks,4,0.6375
8s,Kh,5,0.6375
9s,Qs,A,0.6375
9s,As,Q,0.6375
Qs,Ks,K,0.6375
Ks,As,2,0.6375
Ks,Ah,T,0.6375
2s,As,6,0.636875
Ts,Ah,Q,0.636875
