C1,C2,Bounty,Strength
5s,Kh,2,0.6188
8s,Qh,6,0.6186
9s,Jh,6,0.61855
4s,7s,7,0.61845
4s,Kh,6,0.6184
2s,Ks,3,0.6182
4s,8s,8,0.6181
6s,Kh,3,0.61785
5s,Kh,J,0.6177
8s,Qh,T,0.61755
5s,Kh,7,0.6173
8s,Js,4,0.61725
9s,Jh,7,0.617
5s,Qs,8,0.61695
9s,Jh,A,0.61695
9s,Ts,2,0.61665
3s,Ks,8,0.61655
6s,Qs,A,0.61625
2s,9s,2,0.61605
5s,Kh,Q,0.61605
5s,Qs,6,0.61595
5s,Qs,T,0.6158
9s,Jh,5,0.61545
5s,9h,5,0.6153
9s,Ts,5,0.6153
6s,Qs,7,0.615
4s,Kh,2,0.6148
4s,Kh,Q,0.6148
9s,Jh,2,0.6148
2s,Ks,J,0.61415
5s,Qs,J,0.61395
7s,Js,3,0.61395
2s,Th,T,0.61385
7s,Js,5,0.6134
5s,Qs,4,0.6133
4s,7s,4,0.6132
5s,Kh,9,0.61295
4s,Kh,9,0.61285
8s,Qh,A,0.61235
5s,8h,8,0.61225
8s,Ts,6,0.61225
9s,Jh,K,0.61195
8s,Qh,2,0.6118
2s,Ks,8,0.6116
5s,Qs,2,0.6115
2s,Ks,5,0.6114
4s,Qs,8,0.6112
7s,Js,6,0.6107
7s,Js,A,0.61025
2s,Ks,4,0.6102
8s,Qh,5,0.6101
8s,Ts,A,0.61
9s,Th,8,0.6096
7s,Js,2,0.60915
7s,Js,K,0.6089
4s,6s,6,0.60885
5s,Qs,9,0.60875
6s,Qs,J,0.60875
2s,Ks,6,0.6085
8s,Ts,9,0.6085
3s,Kh,6,0.6079
8s,Ts,7,0.60775
5s,Qs,A,0.60735
9s,Th,7,0.60735
3s,Kh,A,0.6073
4s,Qs,5,0.60705
7s,Qh,K,0.6069
4s,Kh,J,0.6067
8s,Ts,4,0.6066
4s,Kh,3,0.60655
8s,Ts,J,0.60655
9s,Th,K,0.60635
2s,Th,2,0.6062
4s,5s,4,0.6062
4s,Qs,2,0.6062
5s,Qs,7,0.60615
8s,Ts,3,0.606
7s,Js,Q,0.60565
8s,Ts,2,0.60565
7s,Js,9,0.60545
9s,Th,Q,0.6051
4s,6s,4,0.6048
3s,8s,3,0.60435
8s,Ts,5,0.6042
7s,Qh,3,0.60345
3s,Qs,4,0.60335
5s,Kh,8,0.6032
9s,Th,4,0.60315
7s,Qh,8,0.6028
4s,Qs,K,0.6025
4s,Kh,T,0.60245
4s,Kh,8,0.60235
8s,Jh,6,0.6022
7s,Js,8,0.60215
7s,Qh,5,0.60215
3s,Qs,J,0.60205
9s,Th,J,0.6016
8s,Jh,Q,0.60135
5s,7h,7,0.60125
8s,9s,6,0.60115
8s,Ts,Q,0.60085
4s,Qs,7,0.6008
9s,Th,6,0.6006
9s,Jh,4,0.6003
5s,8h,5,0.60025
8s,Jh,A,0.5999
7s,Qh,6,0.59985
4s,Kh,7,0.5998
7s,Qh,A,0.5998
6s,Js,A,0.59965
3s,Kh,4,0.5996
8s,Jh,K,0.5996
8s,Jh,T,0.59955
3s,Kh,7,0.5995
2s,Kh,A,0.59925
7s,Js,4,0.59905
3s,Kh,9,0.5989
6s,Qh,T,0.59875
4s,Qs,T,0.5987
8s,Jh,9,0.59855
2s,8s,2,0.59825
2s,2h,8,0.59815
4s,Qs,3,0.5981
2s,2h,K,0.5978
4s,9h,9,0.5978
8s,9s,7,0.5978
4s,Kh,5,0.5976
4s,Qs,9,0.59755
6s,Qh,4,0.597
6s,Qh,A,0.597
8s,9s,Q,0.59685
4s,Qs,A,0.5968
7s,Ts,9,0.5966
5s,Js,7,0.59605
7s,Ts,Q,0.59605
7s,Qh,2,0.59605
3s,Kh,Q,0.596
8s,Ts,K,0.59595
6s,Js,T,0.59575
3s,Kh,2,0.59565
7s,Ts,J,0.5954
8s,Jh,2,0.59525
4s,Qs,6,0.5952
5s,Qs,3,0.5951
7s,Qh,J,0.59505
9s,Th,3,0.5949
3s,Kh,5,0.59465
8s,9s,5,0.5944
8s,Jh,5,0.5944
3s,Qs,2,0.59415
7s,Ts,K,0.59415
7s,Qh,9,0.5941
6s,Qh,5,0.59405
5s,7h,5,0.5939
3s,Qs,A,0.5937
6s,Js,Q,0.59335
2s,2h,9,0.59325
8s,Th,7,0.59325
3s,Qs,9,0.5932
3s,Kh,J,0.5931
8s,Th,J,0.59245
2s,2h,Q,0.5923
4s,5s,5,0.5923
8s,9s,T,0.5922
3s,Kh,T,0.59205
7s,Qh,4,0.5918
5s,Qh,4,0.59175
2s,Kh,8,0.5917
4s,Qs,J,0.5916
2s,2h,T,0.59125
6s,Qh,2,0.59095
2s,Kh,J,0.59085
8s,Jh,3,0.59075
7s,Qh,T,0.5906
7s,Ts,2,0.59045
7s,Ts,4,0.5904
2s,Qs,4,0.59035
3s,Qs,8,0.59035
2s,8s,8,0.59015
6s,Js,4,0.58965
3s,8s,8,0.5896
8s,Jh,4,0.5895
3s,9h,3,0.5894
7s,Ts,3,0.58915
8s,Jh,7,0.58915
3s,Qs,6,0.5891
9s,Th,5,0.58905
2s,Qs,3,0.5889
3s,Qs,5,0.58885
6s,Qh,K,0.58875
2s,2h,6,0.5885
3s,7s,7,0.58845
7s,Jh,K,0.5884
2s,Qs,9,0.5883
5s,Qh,9,0.5883
3s,7s,3,0.58815
4s,9h,4,0.5879
3s,Qs,K,0.58745
2s,2h,3,0.58735
3s,Qs,T,0.58735
8s,9s,4,0.58725
3s,Kh,8,0.5871
5s,Js,K,0.587
9s,Th,2,0.587
6s,Qh,8,0.5869
2s,Qs,6,0.58685
2s,Kh,7,0.58675
6s,Qh,9,0.5863
2s,Kh,6,0.58625
2s,Kh,T,0.58625
9s,Th,A,0.5862
7s,Ts,8,0.58615
8s,9s,J,0.58615
5s,Js,4,0.58605
6s,Js,K,0.5858
2s,Qs,A,0.58575
2s,2h,7,0.5856
8s,Th,9,0.5852
3s,9h,9,0.5848
5s,Qh,J,0.5848
3s,5s,3,0.5847
2s,Kh,4,0.5846
5s,Qh,2,0.5846
8s,9s,3,0.5846
2s,2h,J,0.5844
7s,Ts,A,0.5843
5s,Qh,A,0.5842
3s,Qs,7,0.58405
2s,Kh,5,0.58395
6s,Js,3,0.58395
8s,Th,6,0.5839
6s,Qh,7,0.58375
2s,Qs,K,0.58365
5s,Qh,3,0.58335
2s,Kh,3,0.58315
2s,2h,4,0.583
2s,2h,A,0.58275
5s,Js,3,0.5827
7s,Jh,3,0.58245
5s,Js,6,0.5821
6s,Qh,J,0.5821
5s,Js,Q,0.5819
6s,Qh,3,0.58175
5s,Qh,6,0.5817
2s,Qs,8,0.58165
6s,Js,9,0.5816
8s,9s,K,0.5816
8s,Th,Q,0.5816
8s,Th,3,0.58145
7s,Ts,5,0.5814
5s,Js,T,0.58125
6s,Js,8,0.58115
7s,9s,8,0.5811
7s,Ts,6,0.58075
7s,Jh,2,0.5804
5s,6h,5,0.5803
4s,Qh,8,0.5799
5s,Qh,T,0.5797
6s,Ts,7,0.5797
3s,6s,3,0.5795
7s,Jh,6,0.5794
5s,Js,9,0.57935
6s,Js,2,0.57935
5s,6h,6,0.5792
4s,Js,2,0.5789
5s,Js,A,0.5788
6s,Js,7,0.57865
2s,Kh,9,0.5781
7s,Jh,9,0.57795
7s,Jh,A,0.57765
6s,Js,5,0.57745
8s,9s,A,0.5773
7s,Jh,T,0.5771
3s,5s,5,0.5769
5s,Js,2,0.5769
2s,2h,5,0.57625
4s,Qh,J,0.5762
8s,9s,2,0.57595
8s,Th,5,0.57565
4s,Qh,2,0.5747
6s,Ts,J,0.57465
2s,Qs,J,0.5746
5s,Qh,7,0.5743
4s,Qh,T,0.57405
7s,Jh,5,0.57405
2s,Kh,Q,0.5739
5s,Qh,K,0.5736
5s,Qh,8,0.5734
4s,Js,8,0.5726
4s,Qh,K,0.5726
4s,8h,8,0.5725
4s,Qh,A,0.57245
7s,Jh,Q,0.57245
7s,8s,9,0.57235
4s,Js,Q,0.57225
7s,Jh,4,0.57225
6s,Ts,3,0.572
3s,6s,6,0.5717
4s,Qh,6,0.5717
6s,Ts,9,0.5717
4s,Js,T,0.57155
4s,Js,3,0.5715
7s,9s,Q,0.5715
5s,Js,8,0.57135
4s,Js,9,0.57105
8s,9h,T,0.5709
8s,Th,2,0.57085
2s,9h,2,0.5708
8s,Th,4,0.57065
7s,Jh,8,0.5706
8s,Th,A,0.5704
2s,Qs,7,0.57035
2s,9h,9,0.57
6s,Ts,Q,0.5699
8s,9h,7,0.5698
2s,Qs,T,0.56955
6s,Ts,A,0.5692
2s,Qs,5,0.56915
4s,Js,7,0.56915
7s,9s,5,0.56895
7s,9s,J,0.5689
6s,Ts,5,0.5688
7s,9s,2,0.56875
3s,Js,2,0.5685
3s,Js,A,0.5682
7s,9s,T,0.56815
4s,Js,5,0.5681
4s,Js,K,0.568
7s,9s,4,0.568
6s,Ts,4,0.5676
4s,Qh,3,0.5668
6s,Ts,8,0.56655
3s,Qh,2,0.5665
3s,Qh,K,0.5665
3s,Qh,A,0.56605
7s,Th,9,0.56595
4s,7h,4,0.5658
8s,Th,K,0.56575
3s,4s,4,0.5651
4s,Js,A,0.565
2s,Js,7,0.56435
7s,Th,8,0.56405
2s,5s,2,0.564
7s,8s,6,0.5636
8s,9h,J,0.56335
8s,9h,6,0.5631
7s,9s,6,0.56245
3s,Js,7,0.56235
4s,6h,4,0.56225
3s,Js,T,0.56215
7s,8s,5,0.562
6s,Jh,8,0.5619
8s,9h,5,0.5618
4s,5h,4,0.5617
7s,8s,J,0.5617
3s,Js,4,0.56165
6s,Ts,2,0.56165
8s,9h,A,0.5613
2s,5s,5,0.5612
4s,Js,6,0.5612
2s,Js,K,0.56095
7s,8s,4,0.56085
4s,Qh,5,0.56055
6s,Ts,K,0.56055
3s,Js,5,0.5602
6s,Jh,A,0.5602
7s,Th,Q,0.56
4s,7h,7,0.5599
2s,6s,6,0.55955
3s,Js,K,0.5595
3s,Qh,9,0.55945
2s,7s,7,0.55935
7s,9s,A,0.5593
4s,Qh,9,0.55915
8s,9h,Q,0.55895
4s,8h,4,0.5585
4s,5h,5,0.55845
3s,Qh,5,0.55835
3s,Js,8,0.5583
2s,Js,Q,0.55825
2s,6s,2,0.55815
7s,Th,6,0.5578
7s,8s,2,0.5576
7s,9s,3,0.55755
2s,Js,A,0.55735
3s,Js,9,0.55725
6s,9s,8,0.55675
3s,Qh,4,0.55665
5s,Jh,6,0.5563
6s,9s,5,0.5562
7s,Th,K,0.5561
7s,9s,K,0.55605
3s,Js,Q,0.5557
2s,7s,2,0.5551
6s,Jh,2,0.5545
4s,Qh,7,0.55435
7s,Th,4,0.55415
7s,8s,T,0.5541
2s,Qh,4,0.554
6s,Jh,4,0.5538
5s,Jh,4,0.55375
3s,Qh,T,0.55365
6s,Jh,7,0.55365
5s,Jh,A,0.55355
3s,Js,6,0.5534
6s,9s,4,0.55315
3s,4s,3,0.5529
3s,Qh,6,0.5527
6s,Jh,5,0.5526
5s,Ts,8,0.55245
2s,Js,5,0.552
7s,8s,3,0.552
6s,Jh,3,0.5518
8s,9h,4,0.55165
6s,Jh,T,0.5516
5s,Jh,3,0.5515
5s,Jh,Q,0.55145
5s,Jh,K,0.5513
8s,9h,3,0.55125
2s,Qh,5,0.55105
2s,Js,8,0.55065
3s,Qh,J,0.55065
7s,Th,3,0.5505
6s,9s,3,0.55035
3s,7h,3,0.5503
2s,Js,T,0.55025
7s,9h,8,0.54985
6s,9s,2,0.54955
2s,Qh,K,0.5495
2s,Js,3,0.54945
6s,Jh,9,0.54915
2s,Qh,J,0.5487
6s,Jh,K,0.5486
7s,Th,A,0.5486
7s,8s,K,0.5484
4s,Ts,3,0.54805
7s,8s,Q,0.54805
6s,9s,7,0.54785
7s,Th,J,0.54775
2s,Qh,A,0.54755
8s,9h,K,0.5475
6s,9s,Q,0.5474
5s,Ts,Q,0.54735
5s,Ts,3,0.5469
8s,9h,2,0.5466
3s,Qh,7,0.54655
7s,9h,6,0.5465
5s,Jh,2,0.5457
7s,8s,A,0.54555
6s,Jh,Q,0.54545
2s,Qh,T,0.5454
7s,Th,5,0.5453
4s,Ts,8,0.5452
6s,9s,T,0.54505
6s,Th,8,0.54485
3s,8h,3,0.5447
2s,Js,4,0.54465
5s,Jh,9,0.54445
2s,Qh,9,0.54435
2s,Qh,8,0.5439
4s,Ts,2,0.54385
5s,Jh,7,0.5438
7s,Th,2,0.5437
3s,8h,8,0.54365
5s,Jh,8,0.5436
6s,9s,J,0.5436
5s,Ts,J,0.5435
2s,Js,9,0.54325
4s,Ts,7,0.54325
6s,8s,7,0.54325
4s,Jh,A,0.5432
4s,Ts,6,0.5431
5s,Ts,9,0.5426
4s,Jh,9,0.54255
2s,4s,4,0.54245
4s,Ts,9,0.5424
6s,9s,K,0.54235
5s,Ts,2,0.5423
6s,Th,7,0.5423
2s,Qh,3,0.54215
4s,Ts,J,0.5419
4s,Ts,Q,0.5418
6s,9s,A,0.5417
6s,8s,5,0.5416
3s,5h,3,0.54085
6s,7s,4,0.5407
6s,Th,2,0.54055
2s,8h,8,0.5405
4s,6h,6,0.54015
3s,Qh,8,0.54005
6s,Th,Q,0.5399
5s,Ts,K,0.5395
5s,Ts,4,0.53945
5s,Ts,A,0.53935
2s,Js,6,0.53925
4s,Jh,7,0.5388
4s,Jh,Q,0.53865
4s,Ts,K,0.53845
6s,Th,9,0.5384
7s,9h,A,0.538
5s,Jh,T,0.5379
5s,Ts,6,0.5378
4s,Jh,T,0.5373
6s,8s,2,0.53715
7s,9h,T,0.537
2s,Qh,7,0.53695
6s,8s,A,0.5369
2s,4s,2,0.5368
6s,8s,9,0.53675
6s,8s,T,0.53645
4s,Jh,3,0.53635
4s,Jh,6,0.53615
2s,Qh,6,0.5358
6s,7s,5,0.5356
3s,Ts,5,0.53555
5s,9s,K,0.53545
3s,Ts,A,0.53485
7s,9h,5,0.53465
4s,Ts,5,0.5344
3s,6h,6,0.53365
5s,Ts,7,0.5334
5s,9s,A,0.5328
6s,8s,4,0.5328
6s,7s,8,0.53275
3s,7h,7,0.53235
5s,9s,2,0.53215
5s,9s,J,0.532
5s,8s,7,0.53185
5s,9s,8,0.53175
4s,Ts,A,0.5316
6s,8s,J,0.5316
3s,Ts,J,0.5314
6s,Th,3,0.5313
7s,9h,3,0.53125
3s,Ts,4,0.53115
6s,8s,3,0.5307
7s,9h,K,0.5307
5s,9s,Q,0.53025
3s,Ts,7,0.53005
6s,7s,T,0.5298
4s,Jh,2,0.5295
3s,Ts,Q,0.5291
6s,Th,5,0.5291
7s,9h,J,0.5289
4s,Jh,5,0.52865
5s,9s,3,0.52855
7s,8h,5,0.52855
4s,Jh,8,0.52805
3s,Jh,A,0.528
7s,8h,J,0.5279
3s,Jh,9,0.52765
3s,Jh,7,0.5276
6s,8s,K,0.5276
7s,8h,4,0.52755
7s,8h,6,0.52755
5s,9s,4,0.5275
3s,Ts,K,0.52735
2s,8h,2,0.5273
6s,8s,Q,0.5273
5s,9s,7,0.52715
6s,Th,A,0.5267
7s,8h,T,0.52645
3s,Ts,9,0.5261
3s,Jh,8,0.52585
7s,8h,9,0.5257
2s,Ts,5,0.5254
6s,7s,2,0.5251
6s,7s,9,0.52505
6s,Th,J,0.52485
7s,9h,2,0.52485
3s,Jh,Q,0.52475
2s,3s,3,0.5245
3s,Jh,K,0.52435
2s,Ts,9,0.524
6s,7s,3,0.52395
5s,9s,6,0.52375
6s,9h,8,0.52375
6s,7s,Q,0.52365
7s,9h,4,0.52365
3s,Ts,8,0.52335
3s,Jh,2,0.5233
5s,9s,T,0.5233
3s,Jh,T,0.52305
3s,Jh,5,0.523
4s,9s,3,0.52275
7s,9h,Q,0.52265
6s,Th,4,0.52255
3s,Jh,6,0.52205
2s,3s,2,0.522
5s,8s,3,0.5219
7s,8h,A,0.5219
6s,9h,7,0.5218
2s,Ts,J,0.52155
3s,6h,3,0.52145
2s,Ts,K,0.5212
3s,Ts,2,0.5204
6s,7s,J,0.52005
5s,Th,3,0.51965
2s,Ts,3,0.5196
3s,Ts,6,0.51935
5s,7s,8,0.5193
2s,7h,2,0.519
7s,8h,K,0.51895
6s,Th,K,0.51875
2s,Jh,A,0.51855
3s,Jh,4,0.51825
3s,5h,5,0.51755
2s,Ts,6,0.5175
5s,8s,4,0.5175
5s,Th,2,0.5175
5s,Th,J,0.5172
5s,8s,K,0.51705
5s,8s,2,0.5169
2s,Jh,K,0.51685
7s,8h,2,0.5165
6s,7s,A,0.5162
6s,9h,T,0.5162
4s,Th,8,0.5161
4s,Jh,K,0.51585
2s,Jh,T,0.5157
2s,Jh,7,0.51565
5s,8s,9,0.51555
2s,Ts,7,0.5152
6s,8h,7,0.5152
6s,9h,2,0.5152
2s,Jh,4,0.5151
6s,7s,K,0.51505
2s,Ts,A,0.515
5s,6s,4,0.5145
3s,4h,3,0.51365
5s,8s,T,0.5136
5s,Th,K,0.51345
2s,Jh,8,0.51325
5s,8s,6,0.513
5s,8s,J,0.51295
5s,Th,9,0.51295
4s,9s,Q,0.51275
2s,Ts,4,0.5125
4s,9s,8,0.51245
2s,Jh,5,0.51235
2s,Ts,8,0.5122
6s,9h,5,0.512
5s,Th,7,0.5119
7s,8h,Q,0.5118
5s,7s,A,0.5113
5s,7s,2,0.51125
2s,Ts,Q,0.5112
7s,8h,3,0.51115
5s,Th,A,0.51095
6s,9h,A,0.5106
5s,7s,6,0.5096
6s,9h,3,0.50935
5s,7s,4,0.5091
5s,Th,Q,0.5091
5s,Th,6,0.5089
3s,4h,4,0.5086
5s,8s,A,0.5086
6s,9h,Q,0.50845
2s,Jh,9,0.50825
4s,Th,K,0.508
4s,9s,5,0.50795
6s,9h,K,0.5077
4s,9s,T,0.5076
4s,Th,9,0.5072
4s,9s,K,0.5069
4s,Th,A,0.50655
2s,Jh,6,0.5065
3s,9s,2,0.5065
5s,8s,Q,0.50645
6s,8h,5,0.5063
5s,Th,8,0.5057
6s,8h,2,0.50565
3s,9s,A,0.5056
5s,6s,7,0.50545
6s,9h,J,0.5053
2s,Jh,Q,0.505
3s,Th,7,0.5042
5s,6s,2,0.50365
2s,Jh,3,0.50315
4s,9s,2,0.50315
5s,7s,3,0.50315
5s,Th,4,0.5027
3s,9s,T,0.50255
6s,8h,9,0.5025
4s,9s,A,0.5024
3s,9s,7,0.5022
2s,6h,6,0.50195
2s,5h,2,0.5019
2s,7h,7,0.50185
3s,9s,4,0.50165
4s,Th,5,0.50165
5s,6s,3,0.50145
6s,9h,4,0.50145
3s,9s,5,0.5014
5s,6s,K,0.5011
2s,5h,5,0.5008
4s,9s,7,0.5003
5s,6s,T,0.5003
2s,6h,2,0.50015
5s,7s,Q,0.50015
6s,8h,3,0.49925
3s,Th,9,0.49915
4s,9s,J,0.49915
2s,9s,8,0.4991
3s,Th,2,0.4988
5s,9h,8,0.4988
6s,8h,Q,0.49855
5s,7s,T,0.4985
5s,6s,9,0.49825
5s,9h,3,0.49795
6s,7h,5,0.49785
5s,7s,9,0.4978
4s,5s,3,0.49755
3s,9s,K,0.4975
4s,8s,T,0.4975
6s,8h,4,0.4975
4s,7s,6,0.49735
4s,Th,3,0.49735
4s,Th,J,0.4973
5s,6s,A,0.4973
2s,9s,7,0.49685
5s,9h,6,0.49685
6s,7h,4,0.4966
4s,6s,3,0.4962
4s,8s,7,0.49615
3s,9s,Q,0.4961
3s,Th,K,0.4957
4s,8s,Q,0.4955
4s,9s,6,0.4954
4s,8s,5,0.49535
2s,9s,Q,0.4953
2s,9s,A,0.49505
6s,8h,A,0.495
3s,9s,8,0.4947
4s,8s,A,0.49465
6s,8h,T,0.4945
2s,9s,T,0.4944
4s,Th,2,0.49425
4s,8s,9,0.494
6s,7h,8,0.4939
5s,9h,Q,0.49375
5s,6s,8,0.4935
4s,6s,5,0.49335
3s,9s,6,0.4933
4s,8s,2,0.49315
4s,8s,J,0.49295
6s,7h,9,0.49295
3s,Th,4,0.49285
4s,8s,K,0.49265
3s,Th,A,0.4924
3s,Th,5,0.4923
2s,9s,J,0.49215
4s,Th,Q,0.4921
3s,9s,J,0.49205
4s,5s,6,0.4918
2s,9s,4,0.49175
2s,4h,2,0.4917
4s,Th,6,0.49115
5s,7s,J,0.49115
3s,Th,J,0.49085
5s,8h,6,0.49075
6s,8h,J,0.4906
5s,9h,J,0.49055
5s,9h,7,0.49015
6s,7h,2,0.49015
2s,4h,4,0.48995
4s,8s,3,0.4899
6s,7h,3,0.4898
4s,5s,A,0.48955
5s,7s,K,0.4895
4s,7s,5,0.48925
5s,9h,2,0.48925
4s,8s,6,0.4892
5s,7h,4,0.4889
4s,7s,2,0.48865
4s,Th,7,0.48855
5s,6s,J,0.48815
5s,9h,K,0.48775
2s,Th,5,0.4875
5s,9h,T,0.4874
6s,8h,K,0.48695
4s,5s,7,0.48685
5s,9h,A,0.48615
4s,5s,2,0.4861
2s,9s,3,0.48585
4s,7s,3,0.4854
5s,8h,K,0.48505
3s,Th,6,0.485
6s,7h,Q,0.485
2s,Th,A,0.48495
5s,6s,Q,0.48465
5s,7h,6,0.48455
5s,8h,4,0.4845
3s,Th,8,0.48445
6s,7h,A,0.4841
5s,8h,J,0.48405
2s,9s,6,0.48385
6s,7h,K,0.48385
2s,9s,K,0.4835
5s,8h,Q,0.48325
6s,7h,T,0.48325
3s,Th,Q,0.4828
2s,Th,Q,0.48215
2s,Th,K,0.48195
4s,7s,8,0.48195
3s,8s,5,0.4819
4s,7s,9,0.4818
5s,8h,7,0.4817
2s,9s,5,0.4815
5s,8h,3,0.48065
3s,8s,A,0.4805
4s,9h,J,0.47995
2s,Th,7,0.47925
4s,6s,T,0.47915
5s,9h,4,0.479
4s,9h,5,0.47805
2s,Th,8,0.4772
4s,7s,T,0.4772
2s,Th,3,0.47685
4s,5s,9,0.47655
4s,5s,K,0.47645
4s,6s,2,0.47635
3s,8s,4,0.4761
4s,7s,K,0.47605
4s,6s,7,0.476
6s,7h,J,0.47595
2s,Th,9,0.4759
4s,6s,8,0.4757
5s,8h,2,0.4757
2s,Th,4,0.47565
4s,9h,7,0.47555
4s,9h,Q,0.4753
4s,6s,K,0.47515
4s,7s,A,0.47475
5s,6h,4,0.4743
5s,7h,8,0.4742
4s,5s,J,0.47415
4s,9h,3,0.4741
3s,8s,9,0.47405
5s,8h,9,0.474
4s,5s,T,0.4739
5s,7h,3,0.4734
3s,8s,2,0.4733
4s,5s,8,0.47285
5s,6h,8,0.4724
4s,5s,Q,0.47225
2s,8s,6,0.47215
4s,6s,9,0.47195
3s,8s,Q,0.4719
4s,7s,J,0.47165
2s,Th,J,0.47105
4s,7s,Q,0.47035
3s,5s,6,0.4699
3s,9h,J,0.4698
2s,8s,5,0.4697
5s,8h,T,0.4697
2s,Th,6,0.46955
5s,7h,2,0.4693
4s,6s,A,0.4692
5s,6h,3,0.46915
2s,8s,K,0.469
4s,9h,2,0.469
2s,3h,2,0.4689
2s,8s,T,0.4687
3s,7s,2,0.4686
5s,6h,7,0.4682
3s,8s,K,0.46815
3s,8s,6,0.46795
3s,9h,2,0.46795
3s,8s,7,0.46785
4s,6s,J,0.4677
4s,6s,Q,0.4675
3s,5s,7,0.4674
3s,8s,T,0.46725
2s,8s,A,0.46695
3s,7s,5,0.4669
2s,3h,3,0.46685
5s,6h,2,0.4668
3s,7s,4,0.46665
3s,8s,J,0.4662
2s,8s,9,0.4661
2s,9h,Q,0.4657
3s,9h,6,0.4654
3s,7s,A,0.4652
3s,7s,K,0.46515
3s,4s,5,0.4649
3s,9h,T,0.4644
3s,9h,Q,0.4642
4s,9h,8,0.46415
2s,8s,3,0.46395
5s,8h,A,0.46395
3s,9h,A,0.46385
5s,6h,9,0.4638
3s,7s,6,0.4636
3s,5s,4,0.46355
3s,6s,4,0.46335
4s,6h,5,0.46325
3s,9h,5,0.4632
4s,9h,6,0.4626
4s,9h,T,0.4625
2s,8s,4,0.462
5s,7h,K,0.46115
3s,9h,4,0.4608
4s,8h,5,0.4608
4s,8h,6,0.46075
2s,8s,J,0.4606
4s,9h,A,0.4604
5s,7h,Q,0.4604
3s,7s,Q,0.4598
4s,8h,7,0.4596
5s,6h,K,0.4591
3s,7s,T,0.459
3s,7s,9,0.45885
4s,8h,K,0.45875
5s,7h,9,0.4584
3s,6s,5,0.45835
3s,9h,8,0.45835
2s,7s,8,0.4583
5s,7h,A,0.4583
2s,8s,7,0.45805
3s,9h,7,0.45745
4s,8h,2,0.45735
4s,8h,3,0.45695
5s,6h,J,0.4569
3s,7s,J,0.4567
2s,8s,Q,0.45655
5s,6h,A,0.45645
2s,9h,J,0.4564
3s,4s,2,0.45635
3s,5s,A,0.45615
3s,7s,8,0.45615
5s,6h,T,0.45565
3s,5s,2,0.45525
5s,7h,J,0.4551
2s,9h,A,0.45505
3s,6s,Q,0.4544
2s,9h,6,0.45425
4s,8h,A,0.45405
5s,6h,Q,0.4535
2s,9h,5,0.45335
3s,4s,6,0.45325
3s,5s,Q,0.45235
3s,6s,9,0.4523
3s,5s,K,0.45185
3s,6s,7,0.4518
4s,7h,5,0.4518
4s,8h,9,0.4518
5s,7h,T,0.45165
2s,5s,4,0.45155
3s,9h,K,0.45085
4s,8h,Q,0.4508
3s,6s,2,0.45025
3s,5s,T,0.45015
4s,9h,K,0.45005
3s,5s,8,0.4499
4s,5h,2,0.4494
4s,6h,3,0.4494
2s,9h,7,0.44925
3s,6s,8,0.4491
3s,5s,J,0.44875
4s,7h,8,0.4483
4s,7h,6,0.44805
2s,9h,3,0.44785
4s,8h,T,0.4474
3s,6s,T,0.4472
3s,6s,K,0.4471
4s,5h,6,0.4471
4s,6h,2,0.44665
4s,7h,3,0.4465
4s,7h,Q,0.4464
4s,5h,A,0.44635
2s,7s,6,0.44555
2s,9h,4,0.4452
3s,4s,Q,0.44505
3s,4s,7,0.44485
2s,5s,A,0.44465
3s,6s,J,0.44465
2s,5s,3,0.44415
3s,8h,9,0.444
4s,7h,T,0.444
3s,6s,A,0.4438
3s,4s,A,0.4436
4s,7h,J,0.4436
4s,5h,7,0.44345
4s,8h,J,0.4431
2s,9h,8,0.4427
3s,5s,9,0.44265
2s,7s,T,0.44215
2s,4s,3,0.4418
2s,5s,7,0.44175
2s,7s,3,0.44155
3s,4s,K,0.44145
2s,5s,Q,0.4414
2s,7s,Q,0.4414
4s,6h,8,0.44115
2s,6s,4,0.44085
2s,6s,5,0.44085
3s,4s,T,0.44075
2s,5s,9,0.4403
4s,7h,K,0.4403
3s,4s,8,0.44015
2s,9h,T,0.4397
4s,5h,3,0.43945
3s,8h,T,0.4392
3s,4s,9,0.43905
2s,7s,5,0.4389
2s,6s,T,0.43835
4s,6h,7,0.4381
2s,5s,6,0.4378
4s,7h,2,0.4376
3s,8h,4,0.43685
2s,4s,5,0.4368
3s,8h,7,0.4368
4s,6h,Q,0.43675
3s,8h,2,0.4367
2s,6s,Q,0.4363
4s,5h,T,0.4362
4s,5h,Q,0.4359
2s,6s,7,0.43555
4s,5h,K,0.43555
2s,6s,9,0.43475
4s,5h,8,0.4347
2s,6s,A,0.4346
4s,5h,J,0.43415
2s,6s,J,0.4336
2s,9h,K,0.4334
3s,7h,6,0.4333
4s,6h,9,0.43315
2s,7s,J,0.4331
3s,5h,4,0.4331
3s,8h,K,0.4324
2s,7s,4,0.4322
2s,7s,9,0.43205
2s,7s,A,0.432
4s,6h,J,0.4316
2s,3s,5,0.4313
2s,5s,K,0.4312
2s,8h,K,0.43085
4s,7h,9,0.43085
2s,4s,A,0.4306
3s,4s,J,0.4306
4s,7h,A,0.43055
4s,5h,9,0.4303
2s,7s,K,0.43
3s,8h,6,0.4298
3s,5h,2,0.42965
2s,4s,6,0.42835
2s,5s,8,0.4277
