C1,C2,Bounty,Strength
Ks,As,4,0.7778
Ks,As,5,0.7776
Qs,As,9,0.777
8s,Ts,8,0.77655
Qs,As,J,0.7756
Qs,As,T,0.7755
Qs,As,3,0.7751
Js,As,5,0.775
Ks,Ah,Q,0.7742
7s,7h,T,0.77375
7s,7h,2,0.7735
Qs,As,5,0.7731
Qs,As,K,0.7731
7s,7h,8,0.77275
8s,Ts,T,0.77265
Qs,As,7,0.77245
Qs,As,6,0.7719
4s,Kh,K,0.7716
Ks,As,9,0.77115
5s,Qs,Q,0.77055
5s,Qs,5,0.77015
7s,Js,7,0.77005
7s,Qh,7,0.76995
8s,Jh,8,0.7699
7s,7h,9,0.76955
4s,Qs,Q,0.76925
3s,Kh,K,0.7691
Ks,Ah,T,0.7687
3s,Kh,3,0.76845
Qs,As,8,0.7681
7s,Js,J,0.76785
Ks,Ah,2,0.76785
9s,Th,T,0.76765
7s,7h,A,0.7675
Qs,As,4,0.7673
Ks,Ah,J,0.767
Js,As,8,0.7662
Ks,Ah,3,0.76585
2s,2h,2,0.7653
Js,As,T,0.76495
7s,7h,J,0.76415
9s,Th,9,0.7635
Ks,Ah,6,0.7625
Ts,As,Q,0.7622
Ks,Ah,4,0.76215
Ts,As,J,0.76135
Js,As,3,0.76135
Js,As,2,0.7611
Js,As,7,0.7611
7s,Qh,Q,0.7596
Ks,Ah,9,0.75945
Ks,Ah,8,0.75915
Qs,Ah,K,0.7589
Ts,As,9,0.75885
6s,Js,6,0.7587
Qs,Ah,J,0.75865
Js,As,K,0.7573
Ts,As,7,0.75725
Ts,As,6,0.75655
Ts,As,K,0.7565
Ts,As,3,0.75595
4s,Qs,4,0.7559
6s,Qh,6,0.7559
8s,Jh,J,0.75555
Ts,As,2,0.7552
6s,6h,5,0.755
Qs,Ah,3,0.75495
6s,6h,3,0.7549
Qs,Ah,6,0.75485
Qs,Ah,5,0.75455
Qs,Ah,4,0.75425
Js,As,Q,0.75375
Ts,As,8,0.7537
Qs,Ah,2,0.75345
Js,As,9,0.75255
Qs,Ks,A,0.75195
Js,As,4,0.75135
Qs,Ah,7,0.75135
Js,Ah,K,0.7512
Ks,Ah,7,0.75085
Js,Ah,7,0.7506
3s,Qs,3,0.7504
Ks,Ah,5,0.7502
Js,As,6,0.7495
6s,Js,J,0.74945
Ts,As,5,0.7489
Qs,Ah,9,0.7488
Js,Ah,6,0.74815
Ts,As,4,0.7478
Qs,Ah,T,0.74685
Qs,Ks,T,0.7466
Js,Ks,9,0.74655
6s,6h,A,0.7463
8s,9s,8,0.74625
2s,Qs,2,0.74525
9s,As,7,0.7451
Qs,Ks,9,0.7445
8s,9s,9,0.74435
6s,6h,T,0.74395
Js,Ah,5,0.74355
7s,Ts,T,0.74345
6s,6h,2,0.74315
6s,6h,4,0.7428
6s,6h,9,0.7425
5s,Qh,Q,0.74225
5s,Js,5,0.74215
Js,Ah,2,0.742
6s,Qh,Q,0.7414
8s,Th,T,0.74135
6s,6h,8,0.74115
Qs,Ks,6,0.7411
Ts,Ah,J,0.7409
Js,Ah,T,0.7408
Js,Ah,9,0.7402
2s,Kh,2,0.74005
Qs,Ks,2,0.73975
Js,Ah,Q,0.73965
Js,Ah,8,0.7395
Ts,Ah,Q,0.73885
Ts,Ah,3,0.7387
9s,As,J,0.73865
Qs,Ks,J,0.73865
7s,Ts,7,0.7386
Qs,Ah,8,0.7385
3s,Qs,Q,0.73835
Js,Ah,3,0.73835
5s,Js,J,0.7382
Qs,Ks,3,0.73805
Js,Ks,7,0.73735
Js,Ks,A,0.73685
Qs,Ks,8,0.7368
6s,6h,7,0.73655
Js,Ks,5,0.73615
2s,Qs,Q,0.7358
9s,As,6,0.7358
Ts,Ah,K,0.73575
5s,Qh,5,0.73555
9s,As,5,0.7354
7s,9s,7,0.735
Ts,Ah,9,0.7346
Js,Ks,2,0.7344
2s,Kh,K,0.73415
6s,6h,K,0.7337
4s,Qh,4,0.73345
6s,6h,Q,0.7334
9s,As,2,0.7331
9s,As,Q,0.7329
Ts,Ah,6,0.7327
